Project_Code,Skill,Emp_ID_Count,Date
001,SSRS,1,8/24/2020
001A,.Net,1,8/24/2020
001A,Database Technologies,1,8/24/2020
001A,Datastage,1,8/24/2020
001A,Cognos,1,8/24/2020
001A,Database Testing,3,8/24/2020
001A,Datastage,6,8/24/2020
001A,Business Analyst,1,8/24/2020
001A,HL7,1,8/24/2020
001A,JS_HTML_CSS_Java,1,8/24/2020
001A,Manual Testing,4,8/24/2020
001A,SSIS,2,8/24/2020
001B,Business Analyst,1,8/24/2020
001B,Others,2,8/24/2020
001C,Datastage,1,8/24/2020
001C,Business Analyst,1,8/24/2020
001C,JS_HTML_CSS_Java,1,8/24/2020
003A,DataModeler,1,8/24/2020
003B,Business Analyst,1,8/24/2020
003B,Others,1,8/24/2020
003C,DataModeler,1,8/24/2020
004A,Cognos,1,8/24/2020
004A,Database Technologies,1,8/24/2020
004A,Database Testing,2,8/24/2020
004A,Datastage,2,8/24/2020
004A,SSIS,2,8/24/2020
004A,Technical Management,1,8/24/2020
005A,Datastage,2,8/24/2020
005B,Informatica,1,8/24/2020
006A,Database Technologies,1,8/24/2020
006A,Database Testing,2,8/24/2020
006A,Manual Testing,2,8/24/2020
006A,Netezza,1,8/24/2020
006A,SSIS,4,8/24/2020
006B,SSIS,1,8/24/2020
008A,Database Testing,3,8/24/2020
008A,Datastage,2,8/24/2020
008A,Fullstack .NET,1,8/24/2020
008A,Fullstack Java,1,8/24/2020
008A,Business Analyst,1,8/24/2020
008A,Informatica,1,8/24/2020
008A,Java,1,8/24/2020
008A,JS_HTML_CSS_.Net,1,8/24/2020
008A,Manual Testing,1,8/24/2020
008A,Oracle Fusion middleware,2,8/24/2020
008A,Others,2,8/24/2020
008A,Performance Testing,1,8/24/2020
008A,Spotfire,1,8/24/2020
008A,SQL,1,8/24/2020
008A,SSIS,1,8/24/2020
008B,Cognos,1,8/24/2020
008B,SSIS,2,8/24/2020
009A,Database Testing,4,8/24/2020
009A,Datastage,2,8/24/2020
009A,Netezza,2,8/24/2020
009A,Performance Testing,1,8/24/2020
009A,SQL,1,8/24/2020
009A,SSIS,2,8/24/2020
009A,Tableau,1,8/24/2020
009B,Cognos,1,8/24/2020
009B,SSIS,1,8/24/2020
010A,Database Testing,2,8/24/2020
010A,Datastage,1,8/24/2020
010A,Informatica,1,8/24/2020
010A,Manual Testing,1,8/24/2020
010A,Netezza,1,8/24/2020
010A,SSIS,1,8/24/2020
010B,Business Analyst,1,8/24/2020
011A,Database Testing,1,8/24/2020
011A,Datastage,1,8/24/2020
011B,Database Testing,1,8/24/2020
011B,SSIS,1,8/24/2020
13A,Cognos,2,8/24/2020
13A,Database Testing,5,8/24/2020
13A,DataModeler,1,8/24/2020
13A,Netezza,5,8/24/2020
13A,SSIS,1,8/24/2020
13B,SSIS,2,8/24/2020
14A,Cognos,2,8/24/2020
14A,Database Testing,2,8/24/2020
14A,Datastage,2,8/24/2020
14A,Netezza,4,8/24/2020
14A,Performance Testing,1,8/24/2020
14B,SSIS,1,8/24/2020
15A,Database Testing,2,8/24/2020
15A,Datastage,3,8/24/2020
15A,Netezza,2,8/24/2020
01A,.Net,1,8/24/2020
01A,Automation Testing,2,8/24/2020
01A,AWS,1,8/24/2020
01A,C++,2,8/24/2020
01A,Business Analyst,5,8/24/2020
01A,JS_HTML_CSS_.Net,1,8/24/2020
01A,JS_HTML_CSS_Java,1,8/24/2020
01A,Manual Testing,13,8/24/2020
01A,Performance Testing,7,8/24/2020
01A,Selenium,3,8/24/2020
01A,Selenium .NET,3,8/24/2020
01A,Selenium Java,24,8/24/2020
01B,Business Analyst,1,8/24/2020
01B,Selenium Java,1,8/24/2020
02A,.Net,2,8/24/2020
02A,Automation Testing,3,8/24/2020
02A,AWS,1,8/24/2020
02A,Azure,1,8/24/2020
02A,C++,2,8/24/2020
02A,Business Analyst,1,8/24/2020
02A,IOS,1,8/24/2020
02A,JS_HTML_CSS_.Net,1,8/24/2020
02A,Manual Testing,7,8/24/2020
02A,Performance Testing,4,8/24/2020
02A,Selenium .NET,2,8/24/2020
02A,Selenium Java,13,8/24/2020
01A,Automation Testing,1,8/24/2020
01A,Fullstack Java,1,8/24/2020
01A,Java,14,8/24/2020
01A,Manual Testing,2,8/24/2020
01A,Sales,1,8/24/2020
01A,Selenium,2,8/24/2020
01A,Selenium Java,6,8/24/2020
01B,Automation Testing,2,8/24/2020
01B,Fullstack Java,1,8/24/2020
01B,Java,7,8/24/2020
01B,Manual Testing,2,8/24/2020
01B,Selenium .NET,1,8/24/2020
02A,Business Analyst,1,8/24/2020
02A,Others,1,8/24/2020
02C,Business Analyst,1,8/24/2020
03A,Datastage,1,8/24/2020
03A,IOS,1,8/24/2020
03A,Manual Testing,1,8/24/2020
03A,Mobile Applications,1,8/24/2020
04A,Manual Testing,1,8/24/2020
04A,Selenium Java,2,8/24/2020
04B,Manual Testing,1,8/24/2020
05B,Datastage,4,8/24/2020
05B,Python,1,8/24/2020
05B,SQL,3,8/24/2020
05B,SSIS,1,8/24/2020
06B,DevOps,1,8/24/2020
06B,Java,1,8/24/2020
07A,.Net,1,8/24/2020
07B,.Net,1,8/24/2020
07B,Salesforce Cloud,1,8/24/2020
08A,IOS,2,8/24/2020
09A,Java,3,8/24/2020
09B,Manual Testing,1,8/24/2020
10A,AWS,1,8/24/2020
10A,Sales,1,8/24/2020
10B,EDI,1,8/24/2020
11A,Fullstack Java,1,8/24/2020
11A,Java,3,8/24/2020
11A,Selenium .NET,1,8/24/2020
11A,Selenium Java,1,8/24/2020
11B,Java,1,8/24/2020
11B,Manual Testing,1,8/24/2020
11B,Mobile Applications,1,8/24/2020
11B,Selenium .NET,1,8/24/2020
12A,Datastage,7,8/24/2020
12B,AWS,1,8/24/2020
12B,Datastage,2,8/24/2020
12B,Python,1,8/24/2020
12B,SQL,2,8/24/2020
12B,SSIS,1,8/24/2020
13A,Manual Testing,2,8/24/2020
13A,Python,1,8/24/2020
13B,Datastage,2,8/24/2020
13B,Manual Testing,1,8/24/2020
15A,Datastage,1,8/24/2020
15A,Java,7,8/24/2020
15A,Selenium Java,1,8/24/2020
15B,.Net,1,8/24/2020
15B,Datastage,2,8/24/2020
15B,Fullstack Java,3,8/24/2020
15B,Java,8,8/24/2020
15B,JS_HTML_CSS_Java,1,8/24/2020
15B,Selenium Java,2,8/24/2020
15B,SQL,1,8/24/2020
16A,Security Testing,1,8/24/2020
16A,Selenium Java,4,8/24/2020
16B,Automation Testing,1,8/24/2020
16B,Selenium Java,1,8/24/2020
17A,.Net,3,8/24/2020
17A,JS_HTML_CSS_.Net,1,8/24/2020
17A,Selenium Java,1,8/24/2020
17B,.Net,1,8/24/2020
17B,Business Analyst,1,8/24/2020
18B,Datastage,1,8/24/2020
20B,Datastage,1,8/24/2020
20B,SQL Server DBA,1,8/24/2020
20B,Tableau,1,8/24/2020
01A,HL7,6,8/24/2020
01A,Manual Testing,1,8/24/2020
01A,Others,1,8/24/2020
01B,.Net,12,8/24/2020
01B,AS400,1,8/24/2020
01B,Automation Testing,1,8/24/2020
01B,Datastage,1,8/24/2020
01B,EDI,4,8/24/2020
01B,Business Analyst,10,8/24/2020
01B,HL7,3,8/24/2020
01B,IT Management,1,8/24/2020
01B,Java,2,8/24/2020
01B,Manual Testing,1,8/24/2020
01B,Oracle DBA,1,8/24/2020
01B,Sales,2,8/24/2020
01B,SQL,13,8/24/2020
01B,SSAS,1,8/24/2020
01B,SSIS,3,8/24/2020
01B,Technical Management,2,8/24/2020
02A,.Net,41,8/24/2020
02A,AS400,1,8/24/2020
02A,Automation Testing,6,8/24/2020
02A,Database Testing,9,8/24/2020
02A,DevOps,1,8/24/2020
02A,EDI,1,8/24/2020
02A,Fullstack .NET,1,8/24/2020
02A,Business Analyst,1,8/24/2020
02A,HL7,1,8/24/2020
02A,IT Management,1,8/24/2020
02A,Java,3,8/24/2020
02A,JS_HTML_CSS_.Net,5,8/24/2020
